name	latitude	longitude	icon	vicinity
Khakula and Co Associates Advocate company	0.5666637	34.5604402	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Bungoma
Nyairo & Co Advocates	0.5195663	35.2748546	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Utalii St, Eldoret
Gicheru & Company Advocates	0.5158596	35.2732694	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Eldoret
Law Society Of Kenya	0.5149282	35.2732392	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Tirio Sugarland Plaza, Oloo St, Eldoret
Ngigi Mbugua & Co Advocates	0.5173365	35.2732223	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kimalel St, Eldoret
Tom Mutei Advocates	0.5160928	35.2747371	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kenyatta St, Eldoret
Morgan Omusundi Law Firm And Advocates	0.515354	35.2738427	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	2nd Floor, Nandi Arcade, Eldore, Oloo St, Eldoret
Chebii & Associates	0.517649	35.2740255	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Oloo St, Eldoret
A K Chepkonga & Co Advocates	0.5170317	35.277915	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Eldoret
Chepseba Lagat & Advocates	0.5152694	35.2738239	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Oloo St, Eldoret
Kigen & Co Advocates	0.5159012	35.2765632	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Elijah Cheriyot St, Eldoret
Limo & Company Advocates	0.5166589	35.2765229	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	C39, Eldoret
Muthii & Patmes Co Advocates	0.5176448	35.2740243	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Oloo St, Eldoret
D. K. Kobir & Advocates	0.5155635	35.2772156	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Bargentuny Plaza, Malaba Rd, Eldoret
Lugulu & Njenga Advocates	0.5152276	35.2739456	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Oloo St, Eldoret
Mburu Maina And Company	0.5168261	35.2778103	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Bargentuny Plaza, Malaba Rd, Eldoret
KM Rop Associates	0.5195938	35.2748887	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Utalii St, Eldoret
Joseph & Cheptarus Advocates	0.5173643	35.2732104	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kimalel St, Eldoret
Chemitei & Co Advocates	0.5161112	35.2747423	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kenyatta St, Eldoret
SK Kitur & Company Advocates	0.5171025	35.2761867	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	C39, Eldoret
G.O Obudho & Company Advocates	0.5149915	35.274811	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nandi Rd, Eldoret
A. P. Kariithi & Company Advocates	-0.532953	37.450794	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	KCB Building, 1st Floor, P. O Box No. 1703, Embu
Steven Langer, Immigration Attorneys	35.4733676	-97.5209106	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	600 N Walker Ave #220, Oklahoma City
Reinstein Matthew	35.5035711	-97.5347593	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	3313 N Classen Blvd, Oklahoma City
Kelli J. Stump	35.4848941	-97.5144023	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	111 NW 15th St B, Oklahoma City
Lawter & Associates, PLLC	35.503548	-97.534518	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	3313 N Classen Blvd, Oklahoma City
Isiolo Law Courts	0.3536671	37.5853393	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Before the DC's Office Ardhi House, Isiolo
Kakamega Law Courts	0.275949	34.755394	https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png	Kisumu - Kakamega Road, General Hospital Road, Behind Police Station, P. O Box 22, Kakamega
Akwala & Co Advocates	0.2821592	34.7523978	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	C40, Kakamega
P.K. Kamau Advocate	0.2850372	34.7546375	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
C.O Samba & Co Advocates	0.2820913	34.7471193	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	C40, Kakamega
Gichaba,Ondieki & Co Advocates	0.2850318	34.7546187	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
J.J. Mukavale & Advocates	0.2835861	34.7501904	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
Amashka & Co Advocates	0.2791203	34.7519606	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
Kinyanjui & Njau Advocate	0.2856273	34.7533312	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
Onsando Getanda & Company Advocates	0.2794636	34.7522342	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
K.N Wesutsa & Co Advocates	0.2822692	34.7514135	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
C.A. Kaverenge Advocate	0.2851069	34.7545946	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
Khasoa & Company Advocates	0.2790988	34.7520196	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
Nandwa & Company Advocates	0.2850372	34.7547019	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kakamega
S.B. Mbeche & Co. Advocates	-0.3698923	35.2832831	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Temple Rd, Kericho
J.K. Kirui & Co. Advocates	-0.3696656	35.2829854	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kenyatta Rd, Kericho
Mwangi Mwaura & Partners Advocates	-1.1727693	36.830119	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Shop No. 303, 2nd Floor, Professional House, Opposite Kiambu Law Court, Biashara Road, Kiambu Rd, Kiambu
Osoro Chege Kibathi & Advocates	-1.1703065	36.8270741	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Ground Floor, 2417 Building, Kiambu Rd, Kiambu
Watitu Wangoo & Co Advocates	-1.1717248	36.8288255	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	1st Floor, Mapa House, Kiambu Rd, Kiambu
Mohammed & Kinyanjui Advocate	-1.1703048	36.8271046	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	4th Floor, 24 / 7 Building, Kiambu Rd, Kiambu
Grace W. Kamuyu & Co. Advocates	-1.1702465	36.8269879	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	24/7 Building, 2nd Floor, Suite C2, Kiambu Rd, Kiambu
Mumo Mutoru Advocates	-1.172366	36.8296463	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	3rd Floor, Kiambu
Opondo And Associates	-1.1730482	36.8310179	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Basement, Joy Arcade, Biashara Street, Kiambu
Kiiru Chege & Associates	-1.1713986	36.841959	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Ebenezar Apartments, Along Riabai Road
Chege Kibathi & Company Advocates LLP	-1.284259	36.820633	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Hughes Building, Banda St, Nairobi
Mutua Waweru Advocates	-1.272996	36.816623	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kipande Rd, Nairobi
Njuguna & Partners	-1.2649767	36.8006561	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Sports Rd, Nairobi
Solomon Mugo & Co. Advocates	-1.2033718	36.9149275	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Githurai
MOGENI & COMPANY ADVOCATES	-1.2697046	36.8072147	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nairobi
P.K Njoroge & Co. Advocates ( Monrovia Street )	-1.282484	36.81621	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Suite no.1, 17th Floor, View Park Towers, Monrovia Street, Monrovia Street, Nairobi
Ndeda & Company Advocates	-1.282848	36.81609	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Utalii St, Nairobi
Otieno,Yogo, Ojuro and Company Advocates	-0.109941	34.7518212	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kisumu
Nyanga & Company Advocate	-0.1046359	34.7528668	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Wing A, 1st Floor, Alpha House, Kisumu CBD, Oginga Odinga Rd, Kisumu
Agasna Othero & Company Advocates	-0.100737	34.7512096	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Harleys Building, Kisumu
AIP Advocates - Kisumu	-0.1044315	34.7528504	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Alpha House, 4th Floor, Kisumu CBD, Oginga Odinga Street, Kisumu
CID Office Railways Kisumu	-0.1029971	34.7464158	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Within Kisumu Port, Marine Dr, Kisumu
Staussi & Asunah Advocates	-0.105119	34.7524756	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Reinsurance Plaza, Oginga Odinga Rd, Kisumu
Kirenga & Co. Advocates	-0.1046359	34.7528668	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Wing A, Alpha House, Kisumu CBD, Oginga Odinga Rd, Kisumu
Ken Omollo & Company Advocates	-0.1017039	34.7509283	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Awori House, Oginga Odinga Avenue, Bank St, Kisumu
Mulondo Oundo Muriuki Watako Advocates	-0.1050134	34.7529218	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Reinsurance Plaza, Oginga Odinga Rd, Kisumu
Bruce Odeny And Company Advocates	-0.1050335	34.7527207	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Re - Insurance Plaza, Oginga Odinga Rd, Kisumu
